Pick,Y->,Clean Pick,N->,Fumble,C->,Catch,DC->,Dropped Catch,S->,Stumping,,
Throw,Y->,Good Throw,N->,Bad throw,DH->,Dirct Hit,RO->,Run Out,MR->,Missed Runout,,
Runs,"""+"" stands for runs saved ""-"" stands for runs consided",,,,,,,,,,,
,,,,,,,,,,,,
,Match No.,Innings,Teams,Player Name,BallCount,Position,Pick,Throw,Runs,Overcount,Venue,Stadium
,IPL2367,1,Delhi Capitals,Rilee russouw,0.1,Short mid wicket,n,,1,1,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,Phil Salt,0.2,wicket keeper,Y,Y,,1,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,Yash Dhull,0.3,covers,Y,Y,,1,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,Axer Patel,0.4,point,Y,Y,,1,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,,0.5,,,,,1,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,Lalit yadav,0.6,cover point,Y,Y,,1,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,Aman Khan,1.1,long off,Y,Y,,2,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,,1.2,,,,,2,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,Kuldeep yadav,1.3,Short mid wicket,Y,,,2,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,,1.4,,,,,2,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,Kuldeep yadav,1.5,point,Y,Y,,2,Delhi,Arun Jaitly Stadium
,IPL2367,1,Delhi Capitals,Lalit yadav,1.6,bowler,Y,,,2,Delhi,Arun Jaitly Stadium
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Sample Performance Matrix,,,,,,,,,,,
,Player Name,Clean Picks (CP),Good Throws (GT),Catches (C),Dropped Catches (DC),Stumpings (S),Run Outs (RO),Missed Run Outs (MR),Direct Hits (DH),Runs Saved (RS),Performance Score (PS),
,Rilee russouw,2,1,1,0,0,0,0,1,2,10,
,Phil Salt,1,2,0,1,0,1,0,0,-1,2,
,Yash Dhull,3,1,2,0,0,0,1,0,3,11,
,Axer Patel,2,3,1,0,1,0,0,0,0,11,
,Lalit yadav,1,2,1,0,0,0,0,1,-2,6,
,Aman Khan,4,1,0,0,0,1,0,0,1,9,
,Kuldeep yadav,3,0,1,1,0,0,0,1,4,9,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,PS=(CP×WCP​)+(GT×WGT​)+(C×WC​)+(DC×WDC​)+(ST×WST​)+(RO×WRO​)+(MRO×WMRO​)+(DH×WDH​)+RS,,,,,,,,,,
,,,,,,,,,,,,
,,"Where W represents the weight assigned to each action, and the metrics are:",,,,,,,,,,
,,,,,,,,,,,,
,,CP: Clean Picks is worth 1 point.,,,,,,,,,,
,,GT: Good Throws is worth 1 point.,,,,,,,,,,
,,C: Catches is worth 3 points.,,,,,,,,,,
,,DC: Dropped Catches subtracts 3 points.,,,,,,,,,,
,,ST: Stumpings is worth 3 points.,,,,,,,,,,
,,RO: Run Outs is worth 3 points.,,,,,,,,,,
,,MRO: Missed Run Outs subtracts 2 points.,,,,,,,,,,
,,DH: Direct Hits is worth 2 points.,,,,,,,,,,
,,RS: Runs Saved are added to the score as is.,,,,,,,,,,
,,,,,,,,,,,,
,Rilee russouw:,PS=(2×1)+(1×1)+(1×3)−(0×3)+(0×3)+(0×3)−(0×2)+(1×2)+2,,,,,,,,,,
,,PS=2+1+3+0+0+0−0+2+2,,,,,,,,,,
,,PS=10,,,,,,,,,,
,,,,,,,,,,,,
,Phil Salt:,PS=(1×1)+(2×1)+(0×3)−(1×3)+(0×3)+(1×3)−(0×2)+(0×2)−1,,,,,,,,,,
,,PS=1+2+0−3+0+3−0+0−1,,,,,,,,,,
,,PS=2,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,For Yash Dhull:,PS=(3×1)+(1×1)+(2×3)−(0×3)+(0×3)+(0×3)−(1×2)+(0×2)+3,,,,,,,,,,
,,PS=3+1+6+0+0+0−2+0+3,,,,,,,,,,
,,PS=11,,,,,,,,,,
,,,,,,,,,,,,
,For Axer Patel:,PS=(2×1)+(3×1)+(1×3)−(0×3)+(1×3)+(0×3)−(0×2)+(0×2)+0,,,,,,,,,,
,,PS=2+3+3+0+3+0−0+0+0,,,,,,,,,,
,,PS=11,,,,,,,,,,
,,,,,,,,,,,,
,For Lalit yadav:,PS=(1×1)+(2×1)+(1×3)−(0×3)+(0×3)+(0×3)−(0×2)+(1×2)−2,,,,,,,,,,
,,PS=1+2+3+0+0+0−0+2−2,,,,,,,,,,
,,PS=6,,,,,,,,,,
,,,,,,,,,,,,
,For Aman Khan:,PS=(4×1)+(1×1)+(0×3)−(0×3)+(0×3)+(1×3)−(0×2)+(0×2)+1,,,,,,,,,,
,,PS=4+1+0+0+0+3−0+0+1,,,,,,,,,,
,,PS=9,,,,,,,,,,
,,,,,,,,,,,,
,For Kuldeep yadav: ,PS=(3×1)+(0×1)+(1×3)−(1×3)+(0×3)+(0×3)−(0×2)+(1×2)+4,,,,,,,,,,
,,PS=3+0+3−3+0+0−0+2+4,,,,,,,,,,
,,PS=9,,,,,,,,,,